主設備,次設備,設備狀況,維修提示,設備,設備編號,設備請購維修編號,設備類型,編號,發生異常日期,檢修保養完成日期,事件項目,事件處理說明,表單修改人,備註
亞冠冷凝設備,油氣進氣系統,,,進料鼓風機 (魯式鼓風機),,HTS_AK-B1,,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,進料鼓風機馬達,,HTS_AK-B1(M),,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,進料鼓風機泵,,HTS_AK-B1(P),,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,管件/閥件/Y型過濾器,,HTS_AK-B1,,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,進料油氣流量計,,HTS_AK-IP1,,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,進料鼓風機出口壓力表,,HTS_AK-B1(I1),,,,,,,,
亞冠冷凝設備,油氣進氣系統,,,進料鼓風機進口壓力表,,HTS_AK-B1(I2),,,,,,,,
亞冠冷凝設備,除霜系統,,,除霜進料空氣鼓風機,,HTS_AK-B2,,,,,,,,
亞冠冷凝設備,除霜系統,,,乙二醇桶,,HTS_AK-S6,,,,,,,,
亞冠冷凝設備,除霜系統,,,乙二醇泵,E-47,,,,,,,,,
亞冠冷凝設備,除霜系統,,,乙二醇泵,E-48,,,,,,,,,
亞冠冷凝設備,除霜系統,,,乙二醇液位開關,,,,,,,,,,
亞冠冷凝設備,除霜系統,,,除霜換熱器 (乙二醇與空氣換熱),,,,,,,,,,
亞冠冷凝設備,空壓油壓系統,,,空壓機,,HTS_AK-C6,復盛_5hp,,,,,,,
亞冠冷凝設備,空壓油壓系統,,,空壓機電磁閥,,,,,,,,,,
亞冠冷凝設備,空壓油壓系統,,,三通氣動閥,,,,,,,,,,
亞冠冷凝設備,空壓油壓系統,,,機台4腳架支撐起降動力馬達 (油壓泵),,HTS_AK-E1,,,,,,,,
亞冠冷凝設備,C1壓縮機,,,-3℃壓縮機(C1),C1,HTS_AK-C1,Bitzer_4G-30.2,111/6/2 作業時跳高壓異常,2022/6/2,2022/6/7,異常檢修,"更新漏電斷路器後仍會跳車,測電流後判斷為1-3風扇馬達故障,先把1-3馬達線路隔絕,並以5台風扇作業。\n
111/6/7於桃廠更換1-3馬達",,
亞冠冷凝設備,C1壓縮機,,,-3℃壓縮機(C1),C1,HTS_AK-C1,Bitzer_4G-30.2,111/9/9 C1壓縮機低壓異常,2022/9/9,2022/9/9,異常排除,"試機發現C1壓縮機低壓異常,無法啟動\n
上慶到場後，發現C1壓縮機啟動後低壓迅速下降 (後來發現原因 : 電磁閥卡住打不開)。後來以磁鐵吸引後，電磁閥作動回復正常(懷疑是之前抽真空造成電磁閥卡住)，並添加冷媒",,
亞冠冷凝設備,C1壓縮機,,,油分離器,E2,,"EKS_(1-3/8"")",,,,,,,
亞冠冷凝設備,C1壓縮機,,,高壓儲液罐,E-6,,Bitzer_F-302H,,,,,,,
亞冠冷凝設備,C1壓縮機,,,乾燥過濾器,E-5,,"EXCEL_(7/8"")",,,,,,,
亞冠冷凝設備,C1壓縮機,,,防爆電磁閥,V-3,,DANFOSS_EVR20,,,,,,,
亞冠冷凝設備,C1壓縮機,,,冷媒窺孔,E-4,,"CASTEL_(7/8"")",,,,,,,
亞冠冷凝設備,C1壓縮機,,,低壓儲液罐,E-14,,"中立_(2-1/8"")",,,,,,,
亞冠冷凝設備,C1壓縮機,,,油壓開關,,,DANFOSS_MP55,,,,,,,
亞冠冷凝設備,C1壓縮機,,,高低壓開關,,,DANFOSS_KP15,,,,,,,
亞冠冷凝設備,C1壓縮機,,,壓縮機過載保護器,,,KRIWAN_34702701,,,,,,,
亞冠冷凝設備,C2壓縮機,,,-30℃壓縮機(C2),C2,HTS_AK-C2,Bitzer_6G-30.2Y,,,,,,,
亞冠冷凝設備,C2壓縮機,,,油分離器,E-12,,"EKS_(1-3/8"")",,,,,,,
亞冠冷凝設備,C2壓縮機,,,高壓儲液罐,E-17,,Bitzer_F-302H,,,,,,,
亞冠冷凝設備,C2壓縮機,,,高燥過濾器,E-16,,"EXCEL_(7/8"")",,,,,,,
亞冠冷凝設備,C2壓縮機,,,防爆電磁閥,V-9,,DANFOSS_EVR20,,,,,,,
亞冠冷凝設備,C2壓縮機,,,冷媒窺孔,E-15,,"CASTEL_(7/8"")",,,,,,,
亞冠冷凝設備,C2壓縮機,,,低壓儲液罐,E-14,,"中立_(2-1/8"")",,,,,,,
亞冠冷凝設備,C2壓縮機,,,油壓開關,,,DANFOSS_MP55,,,,,,,
亞冠冷凝設備,C2壓縮機,,,高低壓開關,,,DANFOSS_KP15,,,,,,,
亞冠冷凝設備,C2壓縮機,,,壓縮機過載保護器,,,KRIWAN_34702701,,,,,,,
亞冠冷凝設備,C3壓縮機,,,-40℃壓縮機(C3),C3,HTS_AK-C3,Bitzer_S6F-30.2Y,,,,,,,
亞冠冷凝設備,C3壓縮機,,,油分離器,E-19,,"EKS_(1-3/8"")",,,,,,,
亞冠冷凝設備,C3壓縮機,,,高壓儲液罐,E-22,,Bitzer_F-302H,,,,,,,
亞冠冷凝設備,C3壓縮機,,,高燥過濾器,E-23,,"EXCEL_(7/8"")",,,,,,,
亞冠冷凝設備,C3壓縮機,,,防爆電磁閥,V-13,,DANFOSS_EVR20(0.6cm),,,,,,,
亞冠冷凝設備,C3壓縮機,,,防爆電磁閥,V-15,,DANFOSS_EVR20(2cm),,,,,,,
亞冠冷凝設備,C3壓縮機,,,冷媒窺孔,E-24,,"CASTEL_(7/8"")",,,,,,,
亞冠冷凝設備,C3壓縮機,,,冷媒窺孔,E-25,,"CASTEL_(3/8"")",,,,,,,
亞冠冷凝設備,C3壓縮機,,,低壓儲液罐,E-21,,"中立_(2-1/8"")",,,,,,,
亞冠冷凝設備,C3壓縮機,,,油壓開關,,,DANFOSS_MP55,,,,,,,
亞冠冷凝設備,C3壓縮機,,,高低壓開關,,,DANFOSS_KP15,,,,,,,
亞冠冷凝設備,C3壓縮機,,,壓縮機過載保護器,,,KRIWAN_34702701,,,,,,,
亞冠冷凝設備,C4-1壓縮機,,,-40℃壓縮機(一元),C4-1,HTS_AK-C4,Bitzer_4G-20.2Y,,,,,,,
亞冠冷凝設備,C4-1壓縮機,,,油分離器,E-35,,"EKS_(1-3/8"")",,,,,,,
亞冠冷凝設備,C4-1壓縮機,,,高壓儲液罐,E-40,,Bitzer_F-302H,,,,,,,
亞冠冷凝設備,C4-1壓縮機,,,高燥過濾器,E-39,,"EXCEL_(7/8"")",,,,,,,
亞冠冷凝設備,C4-1壓縮機,,,防爆電磁閥,V-24,,DANFOSS_EVR20,,,,,,,
