主設備,次設備,設備狀況,維修提示,設備,設備編號,設備請購維修編號,設備類型,設備規格 ,設備廠商,最近維修保養(日期）,下次維修保養(日期),維修保養週期(月),設備負責人,維修廠商,廠內維修單位,維修單位聯絡人/分機,是否有備品,請購履歷,備品狀況,備品數量,表單修改人,備註
總攬,總攬,ON,,油氣處理課,,HTS,,,,,,,,,,,,,,,,
亞冠冷凝設備,總攬,ON,,AK冷凝設備區,,HTS_AK,,,,,,,,,,,,,,,,
亞冠冷凝設備,總攬,ON,,(移動式)亞冠冷凝設備,,HTS_AK(LH),LH,,,,,,,,,,,,,,,
亞冠冷凝設備,鼓風機,ON,,(亞冠冷凝設備)進料鼓風機,,HTS_AK-B1,BL,,,,,,,,,,,,,,,
亞冠冷凝設備,變頻器,ON,,(亞冠)進料鼓風機馬達變頻器,,HTS_AK-B1(F),FC,,,,,,,,,,,,,,,
亞冠冷凝設備,壓力表,ON,,(亞冠冷凝設備)進料鼓風機出口壓力表(每平方公分1公斤以下),,HTS_AK-B1(I1),IP,,,,,,,,,,,,,,,
亞冠冷凝設備,壓力表,ON,,(亞冠冷凝設備)進料鼓風機進口壓力表(76公分水柱以下),,HTS_AK-B1(I2),IP,,,,,,,,,,,,,,,
亞冠冷凝設備,鼓風機,ON,,(亞冠冷凝設備)進料鼓風機馬達,,HTS_AK-B1(M),EMTI,,,,,,,,,,,,,,,
亞冠冷凝設備,鼓風機,ON,,(亞冠)進料鼓風機泵,,HTS_AK-B1(P),PU,,,,,,,,,,,,,,,
亞冠冷凝設備,除霜鼓風機,ON,,(亞冠冷凝設備)除霜進料空氣鼓風機,,HTS_AK-B2,BL,,,,,,,,,,,,,,,
亞冠冷凝設備,正壓風機,ON,,(亞冠冷凝設備)電氣室正壓空氣鼓風機,,HTS_AK-B3,BL,,,,,,,,,,,,,,,
亞冠冷凝設備,壓縮機,ON,,(亞冠冷凝設備)-3度C壓縮機(C1),,HTS_AK-C1,CO,,,,,,,,,,,,,,,
亞冠冷凝設備,壓縮機,ON,,(亞冠冷凝設備)-30度C壓縮機(C2),,HTS_AK-C2,CO,,,,,,,,,,,,,,,
亞冠冷凝設備,壓縮機,ON,,(亞冠冷凝設備)-40度C壓縮機(C3),,HTS_AK-C3,CO,,,,,,,,,,,,,,,
亞冠冷凝設備,壓縮機,ON,,(亞冠)-40度C壓縮機(一元),,HTS_AK-C4,CO,,,,,,,,,,,,,,,
亞冠冷凝設備,壓縮機,ON,,(亞冠)-80度壓縮機(二元),,HTS_AK-C5,CO,,,,,,,,,,,,,,,
亞冠冷凝設備,空壓機,ON,,(亞冠)空壓機(復盛5hp),,HTS_AK-C6,CO,,,,,,,,,,,,,,,
